,city_id,name,state,capital,pop2000,pop2007,longitude,latitude
0,1,Honolulu,HI,State,371657,378587,-157.8234362,21.30578163
1,2,Juneau,AK,State,30711,31592,-134.5115816,58.35141816
2,3,Boise City,ID,State,185787,203529,-116.23765459999998,43.61373614
4,5,Salem,OR,State,136924,152039,-123.02915459999998,44.93110915
5,6,Carson,NV,State,52457,56641,-119.75387260000001,39.16094565
6,7,Sacramento,CA,State,407018,462910,-121.4689271,38.55560915
7,8,Phoenix,AZ,State,1321045,1502129,-112.0763001,33.52837266
8,9,Salt Lake City,UT,State,181743,185364,-111.89261809999999,40.75470014
10,11,Denver,CO,State,554636,578062,-104.96548159999999,39.72629115
11,12,Santa Fe,NM,State,62203,68975,-105.9645726,35.66722715
13,14,Topeka,KS,State,122377,122212,-95.6895091,39.03920016
14,15,Lincoln,NE,State,225581,243824,-96.67534558,40.80986367
16,17,Jefferson City,MO,State,39636,38718,-92.18928158,38.57295465
17,18,Little Rock,AR,State,183133,190640,-92.33111808,34.73600917
18,19,Austin,TX,State,656562,736677,-97.74724558,30.30047264
0,20,Baton Rouge,LA,State,227818,228810,-91.14022709999999,30.45809113
1,21,Helena,MT,State,25780,26007,-112.0270271,46.59580915
2,22,Bismarck,ND,State,55532,59344,-100.77900009999999,46.81334565
3,23,Pierre,SD,State,13876,14169,-100.3363816,44.36796368
4,24,St. Paul,MN,State,287151,291643,-93.11411809,44.95436365
5,25,Madison,WI,State,208054,221682,-89.39475459,43.07460916
6,26,Lansing,MI,State,119128,118163,-84.55491809,42.71758164
7,27,Augusta,ME,State,18560,18979,-69.76526359,44.32353615
8,28,Montpelier,VT,State,8035,8104,-72.57276357,44.26135467
9,29,Albany,NY,State,95658,94140,-73.78133657,42.65982716
10,30,Boston,MA,State,589141,577937,-71.08911806,42.32160017
11,31,Concord,NH,State,40687,44062,-71.54912708,43.22009066
12,32,Tallahassee,FL,State,150624,165158,-84.27277259,30.45180016
13,33,Jackson,MS,State,184256,179637,-90.20441811,32.32044567
14,34,Nashville,TN,State,545524,575052,-86.76213659999999,36.15483567
15,35,Montgomery,AL,State,201568,199925,-86.27911808,32.36153617
16,36,Springfield,IL,State,111454,112701,-89.65037257,39.78325467
17,37,Indianapolis,IN,State,781870,794158,-86.1476816,39.79094565
18,38,Frankfort,KY,State,27741,27457,-84.86310911,38.19727267
19,39,Columbus,OH,State,711470,749160,-82.99146357,39.98978164
20,40,Charleston,WV,State,53421,50697,-81.63329108,38.34950016
21,41,Atlanta,GA,State,416474,463421,-84.40317259,33.75950863
22,42,Columbia,SC,State,116278,117597,-81.01075457,34.01710865
23,43,Raleigh,NC,State,276093,326920,-78.64459108,35.81883615
24,44,Richmond,VA,State,197790,194320,-77.46150909,37.53834514
25,45,Harrisburg,PA,State,48950,47826,-76.87560906,40.26979117
26,46,Trenton,NJ,State,85403,85955,-74.75613659,40.22174567
27,47,Dover,DE,State,32135,34999,-75.52675458,39.16191814
28,48,Washington,DC,National,572059,591318,-77.01321809,38.91360917
29,49,Annapolis,MD,State,35838,37535,-76.50115458,38.97294514
30,50,Hartford,CT,State,121578,127493,-72.68859106,41.76255464
31,51,Providence,RI,State,173618,183731,-71.42212709,41.82355466
32,10,Cheyenne,WY,State,53011,54750,-104.80204559999999,41.14554516
33,13,Oklahoma City,OK,State,506132,552556,-97.5349911,35.48230867
34,4,Olympia,WA,State,42514,45523,-122.8930726,47.04241817
35,16,Des Moines,IA,State,198682,201257,-93.62086361,41.59093617
